Country,Year,Sex,Age,Population
Canada,2019,Male,115,15134
Canada,2019,Male,116,15134
Canada,2019,Male,117,15134
Canada,2019,Male,118,15134
Canada,2019,Male,119,15134
Canada,2019,Male,120,15134
Canada,2019,Male,121,15134
Canada,2019,Male,122,15134
Canada,2019,Female,80,22924
Canada,2019,Female,81,22924
Canada,2019,Female,82,22924
Canada,2019,Female,83,22924
Canada,2019,Female,84,22924
Canada,2019,Female,85,22924
Canada,2019,Female,86,22924
Canada,2019,Female,87,22924
Canada,2019,Female,88,22924
Canada,2019,Female,89,22924
Canada,2019,Female,90,22924
Canada,2019,Female,91,22924
Canada,2019,Female,92,22924
Canada,2019,Female,93,22924
Canada,2019,Female,94,22924
Canada,2019,Female,95,22924
Canada,2019,Female,96,22924
Canada,2019,Female,97,22924
Canada,2019,Female,98,22924
Canada,2019,Female,99,22924
Canada,2019,Female,100,22924
Canada,2019,Female,101,22924
Canada,2019,Female,102,22924
Canada,2019,Female,103,22924
Canada,2019,Female,104,22924
Canada,2019,Female,105,22924
Canada,2019,Female,106,22924
Canada,2019,Female,107,22924
Canada,2019,Female,108,22924
Canada,2019,Female,109,22924
Canada,2019,Female,110,22924
Canada,2019,Female,111,22924
Canada,2019,Female,112,22924
Canada,2019,Female,113,22924
Canada,2019,Female,114,22924
Canada,2019,Female,115,22924
Canada,2019,Female,116,22924
Canada,2019,Female,117,22924
Canada,2019,Female,118,22924
Canada,2019,Female,119,22924
Canada,2019,Female,120,22924
Canada,2019,Female,121,22924
Canada,2019,Female,122,22924
Canada,2018,Male,0,200076
Canada,2018,Male,1,200076
Canada,2018,Male,2,200076
Canada,2018,Male,3,200076
Canada,2018,Male,4,200076
Canada,2018,Female,0,190612
Canada,2018,Female,1,190612
Canada,2018,Female,2,190612
Canada,2018,Female,3,190612
Canada,2018,Female,4,190612
Canada,2018,Male,5,203378
Canada,2018,Male,6,203378
Canada,2018,Male,7,203378
Canada,2018,Male,8,203378
Canada,2018,Male,9,203378
Canada,2018,Female,5,194386
Canada,2018,Female,6,194386
Canada,2018,Female,7,194386
Canada,2018,Female,8,194386
Canada,2018,Female,9,194386
Canada,2018,Male,10,198511
Canada,2018,Male,11,198511
Canada,2018,Male,12,198511
Canada,2018,Male,13,198511
Canada,2018,Male,14,198511
Canada,2018,Female,10,189259
Canada,2018,Female,11,189259
Canada,2018,Female,12,189259
Canada,2018,Female,13,189259
Canada,2018,Female,14,189259
Canada,2018,Male,15,208514
Canada,2018,Male,16,208514
Canada,2018,Male,17,208514
Canada,2018,Male,18,208514
Canada,2018,Male,19,208514
Canada,2018,Female,15,198069
Canada,2018,Female,16,198069
Canada,2018,Female,17,198069
Canada,2018,Female,18,198069
Canada,2018,Female,19,198069
Canada,2018,Male,20,250895
Canada,2018,Male,21,250895
Canada,2018,Male,22,250895
Canada,2018,Male,23,250895
Canada,2018,Male,24,250895
Canada,2018,Female,20,239575
Canada,2018,Female,21,239575
Canada,2018,Female,22,239575
Canada,2018,Female,23,239575
Canada,2018,Female,24,239575
Canada,2018,Male,25,267707
Canada,2018,Male,26,267707
Canada,2018,Male,27,267707
Canada,2018,Male,28,267707
Canada,2018,Male,29,267707
Canada,2018,Female,25,261309
Canada,2018,Female,26,261309
Canada,2018,Female,27,261309
Canada,2018,Female,28,261309
Canada,2018,Female,29,261309
Canada,2018,Male,30,257580
Canada,2018,Male,31,257580
Canada,2018,Male,32,257580
Canada,2018,Male,33,257580
Canada,2018,Male,34,257580
Canada,2018,Female,30,258283
Canada,2018,Female,31,258283
Canada,2018,Female,32,258283
Canada,2018,Female,33,258283
Canada,2018,Female,34,258283
Canada,2018,Male,35,254556
Canada,2018,Male,36,254556
Canada,2018,Male,37,254556
Canada,2018,Male,38,254556
Canada,2018,Male,39,254556
Canada,2018,Female,35,257181
Canada,2018,Female,36,257181
Canada,2018,Female,37,257181
Canada,2018,Female,38,257181
Canada,2018,Female,39,257181
Canada,2018,Male,40,238357
Canada,2018,Male,41,238357
Canada,2018,Male,42,238357
Canada,2018,Male,43,238357
Canada,2018,Male,44,238357
Canada,2018,Female,40,240897
Canada,2018,Female,41,240897
Canada,2018,Female,42,240897
Canada,2018,Female,43,240897
Canada,2018,Female,44,240897
Canada,2018,Male,45,236535
Canada,2018,Male,46,236535
Canada,2018,Male,47,236535
Canada,2018,Male,48,236535
Canada,2018,Male,49,236535
Canada,2018,Female,45,236098
Canada,2018,Female,46,236098
Canada,2018,Female,47,236098
Canada,2018,Female,48,236098
Canada,2018,Female,49,236098
Canada,2018,Male,50,257863
Canada,2018,Male,51,257863
Canada,2018,Male,52,257863
Canada,2018,Male,53,257863
Canada,2018,Male,54,257863
Canada,2018,Female,50,255939
Canada,2018,Female,51,255939
Canada,2018,Female,52,255939
Canada,2018,Female,53,255939
Canada,2018,Female,54,255939
Canada,2018,Male,55,276432
Canada,2018,Male,56,276432
Canada,2018,Male,57,276432
Canada,2018,Male,58,276432
Canada,2018,Male,59,276432
Canada,2018,Female,55,275814
Canada,2018,Female,56,275814
Canada,2018,Female,57,275814
Canada,2018,Female,58,275814
Canada,2018,Female,59,275814
Canada,2018,Male,60,240864
Canada,2018,Male,61,240864
Canada,2018,Male,62,240864
Canada,2018,Male,63,240864
Canada,2018,Male,64,240864
Canada,2018,Female,60,245669
Canada,2018,Female,61,245669
Canada,2018,Female,62,245669
Canada,2018,Female,63,245669
Canada,2018,Female,64,245669
Canada,2018,Male,65,200396
Canada,2018,Male,66,200396
Canada,2018,Male,67,200396
Canada,2018,Male,68,200396
Canada,2018,Male,69,200396
Canada,2018,Female,65,210578
Canada,2018,Female,66,210578
Canada,2018,Female,67,210578
Canada,2018,Female,68,210578
Canada,2018,Female,69,210578
Canada,2018,Male,75,101276
Canada,2018,Male,76,101276
Canada,2018,Male,77,101276
Canada,2018,Male,78,101276
Canada,2018,Male,79,101276
Canada,2018,Female,75,118973
Canada,2018,Female,76,118973
Canada,2018,Female,77,118973
Canada,2018,Female,78,118973
Canada,2018,Female,79,118973
Canada,2018,Male,80,14723
Canada,2018,Male,81,14723
Canada,2018,Male,82,14723
Canada,2018,Male,83,14723
Canada,2018,Male,84,14723
Canada,2018,Male,85,14723
Canada,2018,Male,86,14723
Canada,2018,Male,87,14723
Canada,2018,Male,88,14723
Canada,2018,Male,89,14723
Canada,2018,Male,90,14723
Canada,2018,Male,91,14723
Canada,2018,Male,92,14723
Canada,2018,Male,93,14723
Canada,2018,Male,94,14723
Canada,2018,Male,95,14723
Canada,2018,Male,96,14723
Canada,2018,Male,97,14723
Canada,2018,Male,98,14723
Canada,2018,Male,99,14723
Canada,2018,Male,100,14723
Canada,2018,Male,101,14723
Canada,2018,Male,102,14723
Canada,2018,Male,103,14723
Canada,2018,Male,104,14723
Canada,2018,Male,105,14723
Canada,2018,Male,106,14723
Canada,2018,Male,107,14723
Canada,2018,Male,108,14723
Canada,2018,Male,109,14723
Canada,2018,Male,110,14723
Canada,2018,Male,111,14723
Canada,2018,Male,112,14723
Canada,2018,Male,113,14723
Canada,2018,Male,114,14723
Canada,2018,Male,115,14723
Canada,2018,Male,116,14723
Canada,2018,Male,117,14723
Canada,2018,Male,118,14723
Canada,2018,Male,119,14723
Canada,2018,Male,120,14723
Canada,2018,Male,121,14723
Canada,2018,Male,122,14723
Canada,2018,Female,80,22454
Canada,2018,Female,81,22454
Canada,2018,Female,82,22454
Canada,2018,Female,83,22454
Canada,2018,Female,84,22454
Canada,2018,Female,85,22454
Canada,2018,Female,86,22454
Canada,2018,Female,87,22454
Canada,2018,Female,88,22454
Canada,2018,Female,89,22454
Canada,2018,Female,90,22454
Canada,2018,Female,91,22454
Canada,2018,Female,92,22454
Canada,2018,Female,93,22454
Canada,2018,Female,94,22454
Canada,2018,Female,95,22454
Canada,2018,Female,96,22454
Canada,2018,Female,97,22454
